date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:49	28456/28456	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2017:40:10%20GMT	https://slimhamdi.net/tunis/dark/img/projects/project-9.jpg	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/projects/project-9.jpg	(from https://slimhamdi.net/tunis/dark/portfolio.html)
10:03:49	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jul%202022%2016:34:14%20GMT	https://slimhamdi.net/tunis/dark/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/fonts/fontawesome-webfont3e6e.svg	(from https://slimhamdi.net/tunis/dark/css/font-awesome.min.css)
10:03:50	11355/11355	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Jul%202023%2003:03:50%20GMT	https://slimhamdi.net/tunis/dark/blog-post.html	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/blog-post.html	(from https://slimhamdi.net/tunis/dark/blog.html)
10:03:51	52884/52884	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2017:40:18%20GMT	https://slimhamdi.net/tunis/dark/img/blog/blog-post-1.jpg	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/blog/blog-post-1.jpg	(from https://slimhamdi.net/tunis/dark/blog.html)
10:03:51	60507/60507	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2017:40:19%20GMT	https://slimhamdi.net/tunis/dark/img/blog/blog-post-2.jpg	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/blog/blog-post-2.jpg	(from https://slimhamdi.net/tunis/dark/blog.html)
10:03:51	90147/90147	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2017:40:18%20GMT	https://slimhamdi.net/tunis/dark/img/blog/blog-post-3.jpg	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/blog/blog-post-3.jpg	(from https://slimhamdi.net/tunis/dark/blog.html)
10:03:52	76301/76301	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2017:40:20%20GMT	https://slimhamdi.net/tunis/dark/img/blog/blog-post-4.jpg	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/blog/blog-post-4.jpg	(from https://slimhamdi.net/tunis/dark/blog.html)
10:03:52	37738/37738	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2017:40:20%20GMT	https://slimhamdi.net/tunis/dark/img/blog/blog-post-5.jpg	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/blog/blog-post-5.jpg	(from https://slimhamdi.net/tunis/dark/blog.html)
10:03:52	45810/45810	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jul%202022%2017:40:19%20GMT	https://slimhamdi.net/tunis/dark/img/blog/blog-post-6.jpg	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/blog/blog-post-6.jpg	(from https://slimhamdi.net/tunis/dark/blog.html)
10:03:54	1397560/1397560	---M--	200	added ('OK')	video/mp4	date:Wed,%2013%20Jul%202022%2017:40:15%20GMT	https://slimhamdi.net/tunis/dark/img/projects/video.mp4	C:/Users/TUF/Desktop/cc/slimhamdi.net/tunis/dark/img/projects/video.mp4	(from https://slimhamdi.net/tunis/dark/portfolio.html)
